number,code,title,doi,zenodo_id,slug,portfolios,tags,explainer,status,notes,hotlogiq_community
713,CobalaminWshell,Cobalamin and the Three-Oxidation-State Metal: A Winding-Shell Analysis of Radical and Nucleophilic Catalysis,10.5281/zenodo.21613228,21613228,10.5281-zenodo.21613228,A|E,cobalamin|vitamin-b12|cobalt|winding-shell|jahn-teller|radical-chemistry|nucleophilic-chemistry|corrin|porphyrin|metalloenzymes|oxidation-states|pat-framework|bio-catalysis,True,published,,
718,TwistorWinding,Winding Numbers as Chern Classes: A Twistor Foundation for the w-Shell Framework,10.5281/zenodo.21630153,21630153,10.5281-zenodo.21630153,A|B|E,twistor-theory|chern-classes|winding-numbers|hydrogen-atom|fock-map|penrose-transform|hybridisation|18-electron-rule|line-bundles|pat-hierarchy|chemical-bonding|origami-isa|cp3|s3|borel-weil,True,published,,
719,OrbitalSimplex,Shell Genus as the 2-Skeleton of the Orbital Simplex: Torus Knots 6j Symbols and Tetrahedral Numbers in Atomic Shell Structure,10.5281/zenodo.21630155,21630155,10.5281-zenodo.21630155,A|B|E,knot-theory|torus-knots|orbital-topology|6j-symbols|simplex|tetrahedral-numbers|fano-plane|angular-momentum|clebsch-gordan|oeis|combinatorics|origami-isa,True,published,,
668,MonadsEnzymes,Monads are Enzymes: A Tutorial on Monadic Structure in Chemistry and Quantum Computing,10.5281/zenodo.21500665,21500665,10.5281-zenodo.21500665,A|B|C,monads|enzymes|category-theory|chemistry|quantum-computing|qec|tutorial|origami-isa,True,published,,
669,EmbraceBath,"Embrace the Bath: Why Dissipation Is a Feature, Not a Bug, for Quantum Computing",10.5281/zenodo.21500667,21500667,10.5281-zenodo.21500667,A|C,dissipation|open-quantum-systems|hot-quantum-computing|manifesto|origami-isa,True,published,,
670,HpuArchitecture,The Hot Processing Unit (HPU): Architecture and Programming Model for Dissipative Quantum Hardware,10.5281/zenodo.21500669,21500669,10.5281-zenodo.21500669,A|C,hpu|dissipative-quantum-computing|hardware|programming-model|origami-isa,True,published,,
690,ChemPictures,Chemistry in Pictures: A Finite-Geometry Diagrammatic Language for Molecular Science,10.5281/zenodo.21537495,21537495,10.5281-zenodo.21537495,A|B,finite-geometry|diagrammatic-language|molecular-science|pg-ag|origami-isa|tutorial,True,published,,
700,EpsCycleCarnot,The epsilon-Cycle: A Molecular Carnot Engine from Hitchin Branch Points,10.5281/zenodo.21569564,21569564,10.5281-zenodo.21569564,A|E,epsilon-cycle|hitchin-system|carnot-engine|branch-points|molecular-machine|origami-isa,True,published,,
703,ReplEpsCycle,The Replication epsilon-Cycle: DNA Replication Fidelity as Hitchin Branch-Point Geometry,10.5281/zenodo.21572546,21572546,10.5281-zenodo.21572546,A|E,epsilon-cycle|dna-replication|fidelity|hitchin-system|branch-points|origami-isa,True,published,,
696,PostnikovIsa,The Origami ISA as a Postnikov Tower: The H^k Tier Hierarchy as Universal Truncation,10.5281/zenodo.21613232,21613232,10.5281-zenodo.21613232,A,postnikov-tower|h-k-ladder|origami-isa|universal-truncation|category-theory,True,published,,
704,OecMaxwellDemon,The Oxygen-Evolving Complex as a PAT-3 Maxwell Demon,10.5281/zenodo.21613234,21613234,10.5281-zenodo.21613234,A|E,oxygen-evolving-complex|photosystem-ii|kok-cycle|pat-3|maxwell-demon|ag23|origami-isa,True,published,,
706,Mg2Polymerases,Why Mg2+? The Two-Metal Polymerase Active Site as PAT-2 Fidelity Engine,10.5281/zenodo.21613240,21613240,10.5281-zenodo.21613240,A|E,mg2-polymerases|two-metal-mechanism|pat-2|dna-polymerase|fidelity|origami-isa,True,published,,
714,CytochromeCOxidase,"Cytochrome c Oxidase and the Coupled DwF=0 Centre: Two DwF-Zero Metals, One Superexchange Bridge, Four epsilon-Steps",10.5281/zenodo.21630126,21630126,10.5281-zenodo.21630126,A|E,cytochrome-c-oxidase|winding-shell|dwf-zero|superexchange|electron-transport-chain|origami-isa,True,published,,
715,HydrogenaseWshell,Hydrogenase and the Winding Shell: CO and CN- as Topological Tuners of the H2 Catalytic Window,10.5281/zenodo.21630149,21630149,10.5281-zenodo.21630149,A|E,hydrogenase|winding-shell|co-tuner|cn-tuner|nife-hydrogenase|catalytic-window|origami-isa,True,published,,
716,NitrogenaseWshell,Nitrogenase and the Winding Shell: N=8 Stoichiometry as Eight epsilon-Crossings,10.5281/zenodo.21630152,21630152,10.5281-zenodo.21630152,A|E,nitrogenase|winding-shell|femoco|nitrogen-fixation|stoichiometry|origami-isa,True,published,,
